,edge,delta,c_s,c_sTwoSequence,p_value,result_test,result_test_tip2tip,category_rate,branch_length
0,"(t000000, Node1*)",2.994154410545482,0.1651277582553537,0.16531400956524986,9.245041451613298e-196,Informative,InfoT2T,p2,0.00401551598043
1,"(t000001, Node1*)",2.9945501519781055,0.1651319167564877,0.16531400956524986,8.404847124038233e-196,Informative,InfoT2T,p2,0.00452103497298
2,"(Node2*, Node1*)",2.9781447558044114,0.16531267192893584,0.16531400956524986,2.858334344342544e-193,Informative,InfoT2T,p2,0.006038351408250001
3,"(Node3*, Node2*)",2.986418951751605,0.1650072816233019,0.16531400956524986,4.8170284351379395e-195,Informative,InfoT2T,p2,0.0038762385381000005
4,"(Node4*, Node2*)",2.9730633007238794,0.16513483418313327,0.16531400956524986,4.977382182668499e-193,Informative,InfoT2T,p2,0.00239455764837
5,"(t000010, Node3*)",2.9998993422310494,0.16530847890949674,0.16531400956524986,4.439469654606999e-196,Informative,InfoT2T,p2,0.00509117803839
6,"(t000011, Node3*)",2.999906959053062,0.165308896297061,0.16531400956524986,4.439413721192197e-196,Informative,InfoT2T,p2,0.0055084288588200005
7,"(Node5*, Node4*)",2.97632244671454,0.1651709162342887,0.16531400956524986,2.3027872957904393e-193,Informative,InfoT2T,p2,0.00474143664015
8,"(Node8*, Node4*)",2.9809942945412695,0.16498032661282513,0.16531400956524986,2.0860586343473832e-194,Informative,InfoT2T,p2,0.0071327409545700006
9,"(Node6*, Node5*)",2.9909558395969036,0.1651349414468951,0.16531400956524986,2.4867568692742675e-195,Informative,InfoT2T,p2,0.00483040332576
10,"(Node7*, Node5*)",2.9876586159832703,0.16512256314603635,0.16531400956524986,6.1936000795549685e-195,Informative,InfoT2T,p2,0.00900448752303
11,"(Node9*, Node8*)",2.992716759946641,0.16511840564320068,0.16531400956524986,1.347965719967816e-195,Informative,InfoT2T,p2,0.00437807918268
12,"(Node12*, Node8*)",2.9790689302838227,0.16530900167744297,0.16531400956524986,2.1337322456502943e-193,Informative,InfoT2T,p2,0.00650198090493
13,"(t000100, Node6*)",2.999954892278652,0.16531152657634818,0.16531400956524986,4.439148661066058e-196,Informative,InfoT2T,p2,0.00453368298231
14,"(t000101, Node6*)",2.9999316559869547,0.1653102495857367,0.16531400956524986,4.439231003174646e-196,Informative,InfoT2T,p2,0.00299213441667
15,"(t000110, Node7*)",2.991375387324717,0.165135852507387,0.16531400956524986,2.2061185923539843e-195,Informative,InfoT2T,p2,0.0035066736237600003
16,"(t000111, Node7*)",2.9864736570778434,0.16531078592521226,0.16531400956524986,2.4128676548541898e-194,Informative,InfoT2T,p2,0.0052293388644
17,"(Node10*, Node9*)",2.9931922821946952,0.16531149805692985,0.16531400956524986,3.3076486012252015e-195,Informative,InfoT2T,p2,0.00596076817752
18,"(Node11*, Node9*)",2.999882476364835,0.16530935275946426,0.16531400956524986,4.482876939747671e-196,Informative,InfoT2T,p2,0.004191058659870001
19,"(Node13*, Node12*)",2.979942470337394,0.16512118913233523,0.16531400956524986,6.054367118667884e-194,Informative,InfoT2T,p2,0.00435780044631
20,"(Node14*, Node12*)",2.945522774355064,0.1649536496120363,0.16531400956524986,6.330550687227023e-190,Informative,InfoT2T,p2,1.23072345e-06
21,"(t001000, Node10*)",2.9923022912256285,0.16512917353268608,0.16531400956524986,1.6157823544232873e-195,Informative,InfoT2T,p2,0.004525363601100001
22,"(t001001, Node10*)",2.986495987890147,0.16531201693425468,0.16531400956524986,2.4128022091193562e-194,Informative,InfoT2T,p2,0.00453799575819
23,"(t001010, Node11*)",2.9999636880433265,0.16531200860688938,0.16531400956524986,4.439085014335678e-196,Informative,InfoT2T,p2,0.0038196622801799996
24,"(t001011, Node11*)",2.999978490261271,0.1653128242782069,0.16531400956524986,4.439085013965596e-196,Informative,InfoT2T,p2,0.0064426192441199995
25,"(t001100, Node13*)",2.991587885524732,0.16513422840432607,0.16531400956524986,2.0531035120454738e-195,Informative,InfoT2T,p2,0.0024840946763100002
26,"(t001101, Node13*)",2.995086253334872,0.16514066085226067,0.16531400956524986,7.512069340153992e-196,Informative,InfoT2T,p2,0.00708170254137
27,"(Node15*, Node14*)",2.96769561352398,0.16494899924195575,0.16531400956524986,9.047326547414386e-193,Informative,InfoT2T,p2,0.00594285654789
28,"(Node16*, Node14*)",-0.019982004421739825,0.16531081377206516,0.16531400956524986,0.578799115422379,Saturated,SatuT2T,p2,1.4844729017475
29,"(t001110, Node15*)",2.964043322150232,0.16514543386087718,0.16531400956524986,7.523017349458326e-192,Informative,InfoT2T,p2,0.0040266628116300005
30,"(t001111, Node15*)",2.9703773476129514,0.1649514418483728,0.16531400956524986,4.148836186400486e-193,Informative,InfoT2T,p2,0.00299294607069
31,"(Node17*, Node16*)",0.010872580007314756,0.03193130031943026,0.16531400956524986,0.2877154264930418,Saturated,SatuT2T,p2,0.23735451891384002
32,"(Node48*, Node16*)",-0.03115861765063371,0.05899067709401303,0.16531400956524986,0.8075229621681881,Saturated,SatuT2T,p2,1.3275347562477
33,"(Node18*, Node17*)",0.01708091286632032,0.07666257252337894,0.16531400956524986,0.3570019978902078,Saturated,SatuT2T,p2,1.5194920484007002
34,"(Node33*, Node17*)",0.03380328476977577,0.030019201356899755,0.16531400956524986,0.03199881547295782,Informative,SatuT2T,p2,0.5997265915761
35,"(Node49*, Node48*)",2.9864900679506974,0.16531373919218148,0.16531400956524986,2.43939689675447e-194,Informative,InfoT2T,p2,0.00452770238646
36,"(t101011, Node48*)",2.9681406728357196,0.16429534030739995,0.16531400956524986,2.4043554209958476e-194,Informative,InfoT2T,p2,1.20177378e-06
37,"(Node19*, Node18*)",2.9740318320002035,0.16430712759636454,0.16531400956524986,4.424653188663061e-195,Informative,InfoT2T,p2,1.0457162100000001e-06
38,"(t011010, Node18*)",2.9931921217199857,0.16512501054458686,0.16531400956524986,1.2127063631450917e-195,Informative,InfoT2T,p2,0.00453347250516
39,"(t110000, Node33*)",2.9745030031384148,0.16394916834676412,0.16531400956524986,5.523064644468973e-196,Informative,InfoT2T,p2,1.1714708700000001e-06
40,"(Node34*, Node33*)",2.9956741524523043,0.1653137494250268,0.16531400956524986,1.6028026561205513e-195,Informative,InfoT2T,p2,0.00556183099566
41,"(Node50*, Node49*)",2.9930997903462773,0.1651263036904393,0.16531400956524986,1.255177526518357e-195,Informative,InfoT2T,p2,0.0061169772137400005
42,"(t101010, Node49*)",2.992209978926613,0.16512982985750113,0.16531400956524986,1.6666108547248804e-195,Informative,InfoT2T,p2,0.00451909747161
43,"(Node20*, Node19*)",2.994461732787197,0.16513272073344434,0.16531400956524986,8.666323536350982e-196,Informative,InfoT2T,p2,0.00665477813313
44,"(t011011, Node19*)",2.986491253497714,0.16531175736394693,0.16531400956524986,2.412834379651702e-194,Informative,InfoT2T,p2,0.0050287708143
45,"(t110001, Node34*)",2.993667474547692,0.16512536312131026,0.16531400956524986,1.0548554450776593e-195,Informative,InfoT2T,p2,0.0029833951927500002
46,"(Node35*, Node34*)",2.9825260093601287,0.16531278669306773,0.16531400956524986,7.840053658901686e-194,Informative,InfoT2T,p2,0.00639629203932
47,"(Node51*, Node50*)",2.9907653718826075,0.16530570114294024,0.16531400956524986,6.585327118547135e-195,Informative,InfoT2T,p2,0.00543047643522
48,"(Node62*, Node50*)",2.981398686376165,0.16530870066823034,0.16531400956524986,1.0704383276916367e-193,Informative,InfoT2T,p2,0.00247418417484
49,"(Node21*, Node20*)",2.995517132262139,0.16531046136581068,0.16531400956524986,1.6498484045202407e-195,Informative,InfoT2T,p2,0.00272157326568
50,"(Node32*, Node20*)",2.995194326846221,0.1653114241340342,0.16531400956524986,1.825216103795974e-195,Informative,InfoT2T,p2,0.00400624763967
51,"(Node36*, Node35*)",2.9631899595164053,0.16515311711237188,0.16531400956524986,1.0071494741850171e-191,Informative,InfoT2T,p2,0.00669463718904
52,"(Node37*, Node35*)",2.969106720093885,0.16493343387880818,0.16531400956524986,5.488452910019857e-193,Informative,InfoT2T,p2,0.0026336871422100003
53,"(Node52*, Node51*)",2.9665467109835,0.16530764056202937,0.16531400956524986,8.481779183858662e-192,Informative,InfoT2T,p2,0.012759299110980001
54,"(Node59*, Node51*)",2.972034384704024,0.16499464267732786,0.16531400956524986,3.1992346734116436e-193,Informative,InfoT2T,p2,0.00613511135469
55,"(t101000, Node62*)",2.9730422310399165,0.16531280068028745,0.16531400956524986,1.2881311104708165e-192,Informative,InfoT2T,p2,0.00301466020806
56,"(t101001, Node62*)",2.987805851551771,0.1649447344153784,0.16531400956524986,2.2778041828129464e-195,Informative,InfoT2T,p2,0.0065660548374
57,"(Node22*, Node21*)",2.9863945521141626,0.16531175877676843,0.16531400956524986,2.482915094923333e-194,Informative,InfoT2T,p2,0.01069675377363
58,"(Node29*, Node21*)",2.9800748149086274,0.16519109779329486,0.16531400956524986,8.456122204030531e-194,Informative,InfoT2T,p2,0.0049154953952700005
59,"(t011000, Node32*)",2.9865159443264684,0.16531312158396605,0.16531400956524986,2.4128021797067084e-194,Informative,InfoT2T,p2,0.00554769674217
60,"(t011001, Node32*)",2.994307303304575,0.16513094348009594,0.16531400956524986,8.987110774789806e-196,Informative,InfoT2T,p2,0.00300092269554
61,"(t110010, Node36*)",2.959504958646093,0.16493912869832264,0.16531400956524986,9.623575173010689e-192,Informative,InfoT2T,p2,0.00800537051907
62,"(t110011, Node36*)",2.9667923525302426,0.1647533684717057,0.16531400956524986,4.171216023287002e-193,Informative,InfoT2T,p2,0.0058610936421
63,"(Node38*, Node37*)",2.981318287391065,0.16508423616068282,0.16531400956524986,3.305928897388219e-194,Informative,InfoT2T,p2,0.00447678218844
64,"(Node41*, Node37*)",2.9678668009056297,0.1651371728028893,0.16531400956524986,2.3348287468972485e-192,Informative,InfoT2T,p2,0.011953498095629999
65,"(Node53*, Node52*)",2.9781609719653015,0.16499377823072955,0.16531400956524986,5.1931154606746614e-194,Informative,InfoT2T,p2,0.00619837933608
66,"(Node56*, Node52*)",2.981905941131091,0.16481442180602948,0.16531400956524986,6.528870749343397e-195,Informative,InfoT2T,p2,0.00551885281821
67,"(Node60*, Node59*)",2.9674165392342076,0.16493731437750722,0.16531400956524986,9.233240265353202e-193,Informative,InfoT2T,p2,0.005030881675379999
68,"(Node61*, Node59*)",2.9655300659840527,0.16512522371398816,0.16531400956524986,4.3635631639097945e-192,Informative,InfoT2T,p2,0.005870347290540001
69,"(Node23*, Node22*)",2.9805015713612946,0.16514174960554284,0.16531400956524986,5.726566471067244e-194,Informative,InfoT2T,p2,0.00495782561241
70,"(Node26*, Node22*)",2.995502921584938,0.1651420988224713,0.16531400956524986,6.688009459917776e-196,Informative,InfoT2T,p2,0.00554378317209
71,"(Node30*, Node29*)",2.946042115539226,0.1653110111034727,0.16531400956524986,3.5121642696583148e-189,Informative,InfoT2T,p2,0.00758764533969
72,"(Node31*, Node29*)",2.971221785536121,0.16459790881167594,0.16531400956524986,4.8844194931531255e-194,Informative,InfoT2T,p2,0.00349939174266
73,"(Node39*, Node38*)",2.9877607490866342,0.1651256743645731,0.16531400956524986,6.109906201845146e-195,Informative,InfoT2T,p2,0.00843595882461
74,"(Node40*, Node38*)",2.9723012326301816,0.16514031992046338,0.16531400956524986,6.417762796196136e-193,Informative,InfoT2T,p2,0.0035331271942500003
75,"(Node42*, Node41*)",2.982058657690027,0.16501161692946628,0.16531400956524986,1.7990687642837797e-194,Informative,InfoT2T,p2,0.006257309796630001
76,"(Node45*, Node41*)",2.9769279036693685,0.16496653056773253,0.16531400956524986,6.468777773088353e-194,Informative,InfoT2T,p2,0.004282903638630001
