,edge,delta,c_s,c_sTwoSequence,p_value,result_test,result_test_tip2tip,category_rate,branch_length
0,"(t000000, Node1*)",2.989587613085162,0.1704864465749486,0.170869868890202,3.0523573225368963e-183,Informative,InfoT2T,p2,0.00476864326727
1,"(t000001, Node1*)",2.9888095172882356,0.1704744999370112,0.170869868890202,3.5763137497745828e-183,Informative,InfoT2T,p2,0.00425460233243
2,"(Node2*, Node1*)",2.9567504568898744,0.17086832349900433,0.170869868890202,1.6832921284937669e-178,Informative,InfoT2T,p2,0.0076240197820000005
3,"(Node3*, Node2*)",2.959120611792103,0.1702941201563708,0.170869868890202,5.648745176004034e-180,Informative,InfoT2T,p2,0.004124744874989999
4,"(Node4*, Node2*)",2.965881577744786,0.17030286952206386,0.170869868890202,9.073220748350306e-181,Informative,InfoT2T,p2,0.0043719116759
5,"(t000010, Node3*)",2.980380768435224,0.17029856532613744,0.170869868890202,1.585280138579716e-182,Informative,InfoT2T,p2,0.00233606220616
6,"(t000011, Node3*)",2.9659770968539867,0.17067773605429348,0.170869868890202,5.3595214923286595e-180,Informative,InfoT2T,p2,0.007663489275569999
7,"(Node5*, Node4*)",2.980015330856285,0.17068691622752635,0.170869868890202,1.1559803204552724e-181,Informative,InfoT2T,p2,0.004974679674589999
8,"(Node56*, Node4*)",2.9865092515145966,0.17065706714126147,0.170869868890202,1.6507232731841553e-182,Informative,InfoT2T,p2,0.01065907858384
9,"(Node6*, Node5*)",2.985475525005867,0.17086407553928154,0.170869868890202,6.001854362941043e-182,Informative,InfoT2T,p2,0.00245260761322
10,"(Node55*, Node5*)",2.9851106061748287,0.17068551175086888,0.170869868890202,2.794737702499306e-182,Informative,InfoT2T,p2,0.0047947680541299996
11,"(Node57*, Node56*)",2.979346494401226,0.17085915206447144,0.170869868890202,3.195666329059912e-181,Informative,InfoT2T,p2,0.00602963608721
12,"(Node60*, Node56*)",2.9761831232845273,0.17067069324920592,0.170869868890202,3.088821837032411e-181,Informative,InfoT2T,p2,0.00380262985675
13,"(t000100, Node6*)",2.9908631213205417,0.1706780041203738,0.170869868890202,5.4498011140040744e-183,Informative,InfoT2T,p2,0.00475422746065
