,edge,delta,c_s,c_sTwoSequence,p_value,result_test,result_test_tip2tip,category_rate,branch_length
0,"(t000000, Node1*)",2.8169386011867563,0.16250298689202416,0.1658734494368793,4.038679543104083e-179,Informative,InfoT2T,p4,0.0197078500012
1,"(t000001, Node1*)",2.8077449159800687,0.16296524585252292,0.1658734494368793,5.661587697430997e-177,Informative,InfoT2T,p4,0.0221888991432
2,"(Node2*, Node1*)",2.7074437478400473,0.16355354823986176,0.1658734494368793,1.4859719984907987e-163,Informative,InfoT2T,p4,0.029635773929999998
3,"(Node3*, Node2*)",2.738386434066494,0.16334926551090678,0.1658734494368793,1.1309124156012026e-167,Informative,InfoT2T,p4,0.019024286804
4,"(Node4*, Node2*)",2.7152314949109333,0.16290311688247486,0.1658734494368793,8.82957906732895e-166,Informative,InfoT2T,p4,0.011752308590799999
5,"(t000010, Node3*)",2.7937854918871783,0.16299615118250116,0.1658734494368793,3.5517250858600136e-175,Informative,InfoT2T,p4,0.024987118367599998
6,"(t000011, Node3*)",2.789588546606619,0.16327714589698297,0.1658734494368793,4.5899199113658515e-174,Informative,InfoT2T,p4,0.0270349539688
7,"(Node5*, Node4*)",2.687544507541065,0.16319245869332052,0.1658734494368793,6.7500571327461e-162,Informative,InfoT2T,p4,0.023270613925999998
8,"(Node8*, Node4*)",2.650592977641815,0.16368892675432598,0.1658734494368793,1.3389391421035917e-156,Informative,InfoT2T,p4,0.0350069553988
9,"(Node6*, Node5*)",2.651889452420845,0.1616090571564192,0.1658734494368793,9.45654706651844e-161,Informative,InfoT2T,p4,0.0237072557184
10,"(Node7*, Node5*)",2.6092842683958657,0.16262380147978556,0.1658734494368793,8.570307842985435e-154,Informative,InfoT2T,p4,0.044193346585199994
11,"(Node9*, Node8*)",2.650945476170489,0.16113991283557594,0.1658734494368793,1.4635719229502698e-161,Informative,InfoT2T,p4,0.021487282891199996
12,"(Node12*, Node8*)",2.620414706769022,0.16174103384687696,0.1658734494368793,9.248530111654619e-157,Informative,InfoT2T,p4,0.031911232581199996
13,"(t000100, Node6*)",2.80593880435063,0.16310259330534857,0.1658734494368793,1.866744747231381e-176,Informative,InfoT2T,p4,0.0222509746204
14,"(t000101, Node6*)",2.8087050222211567,0.16261931808547886,0.1658734494368793,7.750481695732843e-178,Informative,InfoT2T,p4,0.014685170362800001
15,"(t000110, Node7*)",2.775691860444696,0.16167602639092782,0.1658734494368793,9.6500445678817e-176,Informative,InfoT2T,p4,0.0172104900384
16,"(t000111, Node7*)",2.774848576737016,0.1626843260755174,0.1658734494368793,1.702629876673972e-173,Informative,InfoT2T,p4,0.025665201296
17,"(Node10*, Node9*)",2.666510833279574,0.16307692305152474,0.1658734494368793,1.2427573858343746e-159,Informative,InfoT2T,p4,0.0292550012768
18,"(Node11*, Node9*)",2.687523962962867,0.1624710967070645,0.1658734494368793,2.581096179258472e-163,Informative,InfoT2T,p4,0.0205694002508
19,"(Node13*, Node12*)",2.693904929827765,0.1614757373707183,0.1658734494368793,4.430760123011448e-166,Informative,InfoT2T,p4,0.021387756380399997
20,"(Node14*, Node12*)",2.570695664927118,0.16263794397522666,0.1658734494368793,2.543749231896845e-149,Informative,InfoT2T,p4,6.040298e-06
21,"(t001000, Node10*)",2.761838146237854,0.1625516069638838,0.1658734494368793,3.591156904887815e-172,Informative,InfoT2T,p4,0.022210143724
22,"(t001001, Node10*)",2.7724408440876736,0.1622002437462887,0.1658734494368793,3.211612755940351e-174,Informative,InfoT2T,p4,0.022272141399599998
23,"(t001010, Node11*)",2.7928245596530403,0.1626590043656575,0.1658734494368793,8.967101581456569e-176,Informative,InfoT2T,p4,0.018746614791199996
24,"(t001011, Node11*)",2.7887540147077288,0.16306241821299836,0.1658734494368793,2.0524727660717793e-174,Informative,InfoT2T,p4,0.0316198900208
25,"(t001100, Node13*)",2.829621574840371,0.16295037367278165,0.1658734494368793,9.749986662681101e-180,Informative,InfoT2T,p4,0.0121917495804
26,"(t001101, Node13*)",2.818357535043619,0.163869856995765,0.1658734494368793,2.330882254326527e-176,Informative,InfoT2T,p4,0.0347564627108
27,"(Node15*, Node14*)",2.6726164884747523,0.16263663413979493,0.1658734494368793,3.285048670229158e-161,Informative,InfoT2T,p4,0.029167092347599996
28,"(Node16*, Node14*)",-0.0003851635822872266,0.1654307923250847,0.1658734494368793,0.5015277951553959,Saturated,SatuT2T,p4,7.2856811979
29,"(t001110, Node15*)",2.8246762139268013,0.1630845037276136,0.1658734494368793,7.926462670429314e-179,Informative,InfoT2T,p4,0.0197625578092
30,"(t001111, Node15*)",2.829799934665862,0.16242422576932478,0.1658734494368793,6.538859927945056e-181,Informative,InfoT2T,p4,0.014689153899599999
31,"(Node17*, Node16*)",-1.0615536799215725e-07,3.0251995139966727e-05,0.1658734494368793,0.5023026230589397,Saturated,SatuT2T,p4,1.1649181023456
32,"(Node48*, Node16*)",2.5439145888261034e-05,0.0006929132028618794,0.1658734494368793,0.4759232913131895,Saturated,SatuT2T,p4,6.515440599668
33,"(Node18*, Node17*)",0.0019376125597539652,0.0032760797594490448,0.1658734494368793,0.1653173542372408,Saturated,SatuT2T,p4,7.457552532188
34,"(Node33*, Node17*)",3.5526785843302036e-06,1.0418755272545219e-05,0.1658734494368793,0.2874408242748401,Saturated,SatuT2T,p4,2.9434129427239997
35,"(Node49*, Node48*)",2.806037725838676,0.16587214496561514,0.1658734494368793,1.0579592564739093e-170,Informative,InfoT2T,p4,0.022221622306400002
36,"(t101011, Node48*)",2.7241391456337545,0.15839151952786912,0.1658734494368793,2.3293778590063157e-176,Informative,InfoT2T,p4,5.8982152e-06
