,edge,delta,c_s,c_sTwoSequence,p_value,result_test,result_test_tip2tip,category_rate,branch_length
0,"(Claviceps_purpurea_clp1, Node1*)",1.2338691841925906,0.10580675942473203,0.1393476802330441,2.6408115749975754e-82,Informative,InfoT2T,single_rate,0.1803575947
1,"(Node2*, Node1*)",1.1527097351640065,0.10518989244742946,0.1393476802330441,6.210226439033059e-73,Informative,InfoT2T,single_rate,0.1288287463
2,"(Claviceps_fusiformis_clf1, Node1*)",0.8927060584669869,0.11326452739421465,0.1393476802330441,9.777678127520573e-39,Informative,InfoT2T,single_rate,0.5060455269
3,"(Node3*, Node2*)",2.0566155564649553,0.12339808717749258,0.1393476802330441,9.345647249926114e-166,Informative,InfoT2T,single_rate,0.0035267596
4,"(Claviceps_paspali_cpas2, Node2*)",2.0401629137243518,0.12277407385998101,0.1393476802330441,8.627346199005263e-165,Informative,InfoT2T,single_rate,2.6864e-06
5,"(Node4*, Node3*)",0.0944119244541492,0.12409109039311919,0.1393476802330441,0.10538517055278218,Saturated,SatuT2T,single_rate,2.34115512
6,"(Claviceps_sorghicola_cjap2, Node3*)",2.0458743915806763,0.12278913217572242,0.1393476802330441,1.1618191665069763e-165,Informative,InfoT2T,single_rate,2.8961e-06
7,"(Node5*, Node4*)",0.09974336662402472,0.13113511680655426,0.1393476802330441,0.10544886742296178,Saturated,SatuT2T,single_rate,2.333531978
8,"(Claviceps_paspali_cpas1, Node4*)",0.008946568788831226,0.007807692758273791,0.1393476802330441,0.0297296609922196,Informative,SatuT2T,single_rate,2.4679e-06
9,"(Node6*, Node5*)",1.2389332414076804,0.09090236906645045,0.1393476802330441,1.3089314938723562e-111,Informative,InfoT2T,single_rate,2.6606e-06
10,"(Node7*, Node5*)",1.664955254758313,0.12753271971274308,0.1393476802330441,1.3695116238967781e-102,Informative,InfoT2T,single_rate,0.2222549513
11,"(Claviceps_purpurea_clp2, Node6*)",2.51195838229078,0.12852742409967277,0.1393476802330441,4.823927762168476e-227,Informative,InfoT2T,single_rate,1e-06
12,"(Claviceps_sorghicola_cjap4, Node6*)",2.51195838229078,0.12852742409967277,0.1393476802330441,4.823927762168476e-227,Informative,InfoT2T,single_rate,1e-06
13,"(Claviceps_africana_cla2, Node7*)",2.2959499611630827,0.12595704686970355,0.1393476802330441,8.309114004642069e-198,Informative,InfoT2T,single_rate,0.001301926
14,"(Node8*, Node7*)",2.2975092575430476,0.12603748131202286,0.1393476802330441,8.011432961179015e-198,Informative,InfoT2T,single_rate,0.0018228437
15,"(Claviceps_africana_cla7, Node8*)",2.3108282257737907,0.12621341628642171,0.1393476802330441,1.520602280006453e-199,Informative,InfoT2T,single_rate,1e-06
16,"(Node9*, Node8*)",2.2894706100423763,0.1262222604581081,0.1393476802330441,6.86639630826402e-196,Informative,InfoT2T,single_rate,1e-06
17,"(Claviceps_africana_cls1, Node9*)",2.289473684208484,0.12622240628907003,0.1393476802330441,6.865249795563761e-196,Informative,InfoT2T,single_rate,1e-06
18,"(Claviceps_africana_cls2, Node9*)",2.289473684208484,0.12622240628907003,0.1393476802330441,6.865249795563761e-196,Informative,InfoT2T,single_rate,1e-06
